"tag","condition_verbose","response","node3"
"t110101","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route.","They wanted to see if anything else was available.","Ku_f=0"
"t111000","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route.","They couldn't see the hot dogs so went for the convenient option.","Su=0"
"t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route.","They wanted a long walk to see what else was available","Cu=1"
"t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route.","They didn't like hot dogs so went to find something else.","P=0"
"t100110","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route.","They love hot dogs so went straight there","P=1"
"t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route.","They wanted to go for a long walk","Cu=1"
"t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route.","They wanted a longer walk and knew there were hot dogs available","Cu=1"
"t101111","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route.","They wanted to see what else was available","Ku_f=0"
"t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route.","Charlie can't be bothered walking to the pizza stand and goes to the closest stand which is the hot dog stand.","C=0"
"t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route.","He doesn't know that the pizza stand is round the corner.","Ku_f=0"
"t100001","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","Harper walks past the hot dog stand as he is lazy and he didn't notice it.","br_p=1"
"t111011","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route.","Taylor wants a hotdog.","Pu_f=1"
"t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route.","Drew knows where the pizza stand is but takes the longer route for some extra exercise before his pizza.","C=1"
"t101010","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route.","His favourite food is hot dogs and went straight there.","P=1"
"t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route.","Adrian gets lost and ends up taking the longer route to the hot dog stand.","K=0"
"t110000","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route.","Parker is too lazy to walk to the hotdog stand.","C=0"
"t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route.","He wanted to explore the area before eating.","br_p=1"
