mindsCode,tag,response,index,digit1,digit2,digit3,digit4,digit5,digit6,annotation,Myrate
M010509,t111101,Taylor wanted to walk more because he is sporty,466,1,1,1,1,0,1,C=1,C=1
M547545,t010000,Charlie chose the closest one,354,0,1,0,0,0,0,Su_f,S
M009749,t101010,Because they like hot dogs and are happy to walk the distance,344,1,0,1,0,1,0,P=1,Cu_f=1
M807351,t101101,Wants to walk to see whats available,1295,1,0,1,1,0,1,Su_f,Cu_f=1
M793754,t000010,Shortest route to the hotdogs place.,875,0,0,0,0,1,0,Su_p=1,S=1
M023413,t110100,Today he walked just a short didtance for pizza. Perhaps he is learning the area?,182,1,1,0,1,0,0,Ku=1,br_p=0
M849289,t111010,they went the shortest route to their favourite food,1501,1,1,1,0,1,0,P,P
M666276,t011101,"Drew can't see the pizza stand but knows the area so skips past the hot dog stand. Being sporty, this wouldn't be an issue as he doesn't mind the extra distance. Also, he may simply enjoy pizza more.",1109,0,1,1,1,0,1,P=0,K=1
M813055,t011101,"Drew is sporty and so likes to take the longer route to the food stand, as he can do more exercise that way.",1524,0,1,1,1,0,1,C=1,C=1
M389494,t101011,They were sporty so didn't mind walking until they found their favourite food,562,1,0,1,0,1,1,Cu_f=1,C=1
M833871,t101111,Jesse is sporty and so walked around the block of houses to see what options they had. They stopped at the hot dog truck as they sell their favourite food.,1176,1,0,1,1,1,1,C=1,C=1
M548118,t001101,His favourite food is pizza and he stopped when he found it,91,0,0,1,1,0,1,P=0,P=0
M064601,t101110,Jesse loves hot dogs.,82,1,0,1,1,1,0,P=1,P=1
M031936,t010100,He choose the closest food card,389,0,1,0,1,0,0,Su_f,Cu_f
M367910,t000100,He walked through the area and saw the pizza stand and it provoked him.,994,0,0,0,1,0,0,br_f=0,br_f=0
M909198,t010110,They go to the hot dog place since it is closer.,129,0,1,0,1,1,0,Su_p=1,S=1
M025532,t001001,Brooklyn got lost,1342,0,0,1,0,0,1,Ku=0,Ku=0
M456095,t110100,Parker went what he thought was the quickest way because he is lazy.,636,1,1,0,1,0,0,C=0,C=0
M456095,t010010,Charlie knows the area well so went the quickest way.,634,0,1,0,0,1,0,K=1,K=1
M519454,t101101,It's possible Jesse didn't like the look of the hot dog stand as it is his favourite food and holds a high standard that wasn't met.,1266,1,0,1,1,0,1,br_f=1,br_f=0
M380199,t010101,Charlie felt like going for a walk before eating.,448,0,1,0,1,0,1,Cu_p=1,Cu_p=1
M036671,t001010,He was lucky to meet the hotdogs first.,277,0,0,1,0,1,0,Su_f=1,br_f=1
M895939,t011011,He wanted to exercise before eating and knew where the hotdog stall was,1488,0,1,1,0,1,1,Cu_p=1,Cu_f=1
M073342,t111010,Taylor knows the area and went to their favourite spot,2012,1,1,1,0,1,0,K=1,K=1
M007251,t010110,They are lazy,1192,0,1,0,1,1,0,C=0,C=0
M182341,t000000,Adrian is definitely very lazy.,321,0,0,0,0,0,0,C=0,C=0
M541462,t010010,As Charlie knows the area well he knew the Hot Dog van wouldn't be too far away and decide to walk towards it.,72,0,1,0,0,1,0,Ku=1,K=1
M909198,t110000,They went to the nearest place to get pizza as they did not want to walk.,135,1,1,0,0,0,0,Cu_p=0,Cu_f=0
M248419,t100001,He went to the pizza stand because he didn't see the hot dog stand.,906,1,0,0,0,0,1,Su_f=0,Su_f=0
M015369,t101011,As he does not know the are he did not bother to walk more and the pizza dod not tempt him because he really wanted to eat hot dog,1475,1,0,1,0,1,1,Pu=1,Pu=1
M697784,t100000,Walk to the left.,1214,1,0,0,0,0,0,Unclear,Unclear
M295035,t101010,just happen to see a hot dog when when trying to familiarise the area,525,1,0,1,0,1,0,Su_f=1,Su_f=1
M001177,t001100,Brooklyn set out to explore and found the pizza stall.,103,0,0,1,1,0,0,Su_f=0,Su_f=0
M245990,t011101,They wanted to keep fit and went the long way,558,0,1,1,1,0,1,Cu_p=1,Cu_p=1
M281767,t100100,Harper wanted to get around the corner in the quickest manner possible and then he got a pizza when he saw the truck.,244,1,0,0,1,0,0,Cu_p=0,br_f=0
M920418,t001101,longer way round but direct,429,0,0,1,1,0,1,br_p=1,Unclear
M445624,t011010,Drew fancied hot dogs over pizza,649,0,1,1,0,1,0,Pu=1,Pu=1
M957429,t111000,They don't have time for a long route or to get to their favourite food today,1074,1,1,1,0,0,0,Cu_p=0,br_p=0
M060188,t011010,Today they wanted a hotdog,1727,0,1,1,0,1,0,Pu=1,Pu=1
M470758,t011101,"since drew knows the area well and sporty, he just went using the long route because he just loves to explore and go",2022,0,1,1,1,0,1,br_p=1,C=1
M014920,t000010,"Adrian didn't want to eat pizza, so decided to wander around and see if anything else was available.",599,0,0,0,0,1,0,Pu=1,Cu_f=1
M851793,t110011,Parker took the longer route because they know the area well. The shorter route may have obstacles they know of.,682,1,1,0,0,1,1,Ku=1,K=1
M481805,t110001,Parker decided he needed some exercise as he is generally lazy and also wanted to mix it up and not eat hot dogs again,32,1,1,0,0,0,1,C=0,Cu_p=1
M064601,t001000,Brooklyn was hungry and wanted pizza.,84,0,0,1,0,0,0,Pu=0,Pu=0
M066700,t101001,They see the pizza van but do not want to eat yet. They are not ready to eat when they pass the hot dog van so carry on back to the pizza van. Although hot dog is their favourite this does not necessarily mean they want that all the time - sometimes variety is good.,412,1,0,1,0,0,1,Pu=0,br_f=0
M719293,t110011,His favorite food is hot dog and he knows the area well.,976,1,1,0,0,1,1,P=1,P=1
M368421,t011111,He was burning off more calories before a high calorie food.,1835,0,1,1,1,1,1,Cu_p=1,Cu_p=1
M019551,t111001,Maybe they had run out of hot dogs if he'd gone all the way past the hot dog stand and come back towards the pizza.,1644,1,1,1,0,0,1,br_f=0,br_f=0
M003175,t001010,"Brooklyn saw the pizza truck but wanted to go around the block and explore the area, as he was feeling in the mood to walk a bit. He ended up going in the opposite direction to the pizza truck and found hot dogs on the way",1308,0,0,1,0,1,0,Cu_p=1,br_p=1
M523527,t111001,I believe Taylor wasn't wearing their glasses when they went out for a jog. That would explain why he didn't stop at the hot dog stand even though his favourite food is hot dogs.,1181,1,1,1,0,0,1,Su_f=0,Su_f=0
M570881,t000101,I think it's not lazy.,989,0,0,0,1,0,1,C=1,Unclear
M456095,t100101,Harper chose the route because he does not know the area well.,640,1,0,0,1,0,1,K=0,K=0
M216624,t100010,Harper took a really short route - cause he was really hungry and wanted to get there with minimal effort,1395,1,0,0,0,1,0,Cu_p=0,Cu_p=0
M565067,t111001,He wants to do some exercise before having his food.,173,1,1,1,0,0,1,Cu_p=1,Cu_p=1
M299191,t101010,Because their favourite food is hot dogs.,1775,1,0,1,0,1,0,P=1,P=1
M451106,t110011,They wanted to take the long route because they are sporty,780,1,1,0,0,1,1,Cu_p=1,C=1
M796127,t111010,"That's right, his favorite food is hot dogs...",1088,1,1,1,0,1,0,P=1,P=1
M235409,t001100,"Brooklyn is sporty and saw the hot dog stand, they decided to take the long route to the hotdog stand but on the way they saw the pizza stand. They preferred pizza so stopped to eat",767,0,0,1,1,0,0,P=0,C=1
M082519,t001111,Brooklyn missed the pizza spot because they don't know the area and found the hotdog stand,1887,0,0,1,1,1,1,K=0,K=0
M061655,t111000,Taylor goes to the pizza stand as he is very hungry,811,1,1,1,0,0,0,br_f=0,Pu=0
M036833,t100001,The hot dog stand was closed and then he got confused about which way to go,1637,1,0,0,0,0,1,br_f=1,br_f=0
M397093,t110110,They wanted a hot dog,868,1,1,0,1,1,0,Pu=1,Pu=1
M620650,t011100,I knew the way to the pizzas.,227,0,1,1,1,0,0,Ku=1,K=1
M053971,t101101,They wanted a sporty challenge,1144,1,0,1,1,0,1,Cu_p=1,Cu_p=1
M785342,t001001,because they are sporty so enjoy extra walking,141,0,0,1,0,0,1,C=1,C=1
M563538,t001000,too hungry from exercise and went to the first place with food,739,0,0,1,0,0,0,Su_f,Cu_f=0
M639710,t011111,They wanted to take the long route because they are sporty,930,0,1,1,1,1,1,C=1,C=1
M064601,t111111,Taylor is sporty and wants more exercise.,85,1,1,1,1,1,1,Cu_p=1,C=1
M173232,t000100,Go to the nearest place to get the food as no specific preference and is lazy,1812,0,0,0,1,0,0,Cu_p=0,C=0
M262279,t100010,went to eat his favorite food,967,1,0,0,0,1,0,P,P
M031292,t001010,Brooklyn prefers hotdogs over pizza.,586,0,0,1,0,1,0,P=1,P=1
M230523,t001001,They wanted to take the long route because they are sporty,224,0,0,1,0,0,1,Cu_p=1,C=1
M978587,t010000,Charlie is just been lazy but still find a way to get to sales point,1053,0,1,0,0,0,0,C=0,Cu_p=0
M788090,t001100,was simply looking and found a pizza van,424,0,0,1,1,0,0,Su_f=0,br_p=0
M015403,t000011,"Adrian really doesn't like pizza, even though he's lazy he held out hope that there would be other food options and, after walking around the area he doesn't know luckily stumbled upon a hot dog stand, a food which he does tolerate.",952,0,0,0,0,1,1,P=1,K=0
M064601,t000011,Adrian does not know the area well and got lost.,88,0,0,0,0,1,1,K=0,K=0
M087770,t011101,better than pizza,209,0,1,1,1,0,1,br_f=1,Pu=1
M447275,t011011,They wanted to take the long route because they are sporty,708,0,1,1,0,1,1,Cu_p=1,C=1
M302180,t001101,He is a sporty person and chose to get to know the area and took a long walk to discover the pizza truck.,192,0,0,1,1,0,1,C=1,C=1
M004430,t111111,He wanted to 'earn' his snack so took the long way round,1599,1,1,1,1,1,1,Cu_p=1,Cu_f=1
M061655,t101111,Jesse's favourite food is hot dogs but he didn't know how to get to the stand.,812,1,0,1,1,1,1,K=0,K=0
M004430,t010010,He fancied hot dog that day,1600,0,1,0,0,1,0,Pu=1,Pu=1
M068961,t010001,He was having a good day and went for a long walk.,195,0,1,0,0,0,1,Cu_p=1,br_p=1
M924021,t101100,They go to the pizza stand because it's their favourite,261,1,0,1,1,0,0,P=0,P=0
M509029,t110001,he wanted a walk and pizza,543,1,1,0,0,0,1,Cu_p=1,Pu=0
